# x_m,y_m,w_tr_right_m,w_tr_left_m
11.5000,35.8000,0.4659,0.4659
11.5000,35.8500,0.4659,0.4659
11.5000,35.9000,0.4571,0.4571
11.5000,35.9500,0.4518,0.4518
11.5000,36.0000,0.4500,0.4500
11.5000,36.0500,0.4500,0.4500
11.5000,36.1000,0.4500,0.4500
11.5500,36.1500,0.4571,0.4571
11.5500,36.2000,0.4659,0.4659
11.5500,36.2500,0.4659,0.4659
11.5500,36.3000,0.4571,0.4571
11.5500,36.3500,0.4518,0.4518
11.5500,36.4000,0.4500,0.4500
11.5500,36.4500,0.4500,0.4500
11.5500,36.5000,0.4500,0.4500
11.5500,36.5500,0.4464,0.4464
11.6000,36.6000,0.4659,0.4659
11.6000,36.6500,0.4659,0.4659
11.6000,36.7000,0.4571,0.4571
11.6000,36.7500,0.4518,0.4518
11.6000,36.8000,0.4500,0.4500
11.6000,36.8500,0.4500,0.4500
11.6000,36.9000,0.4500,0.4500
11.6000,36.9500,0.4500,0.4500
11.6500,37.0000,0.4518,0.4518
11.6500,37.0500,0.4571,0.4571
11.6500,37.1000,0.4659,0.4659
11.6500,37.1500,0.4571,0.4571
11.6500,37.2000,0.4518,0.4518
11.6500,37.2500,0.4500,0.4500
11.6500,37.3000,0.4500,0.4500
11.6500,37.3500,0.4500,0.4500
11.6500,37.4000,0.4464,0.4464
11.7000,37.4500,0.4571,0.4571
11.7000,37.5000,0.4659,0.4659
11.7000,37.5500,0.4571,0.4571
11.7000,37.6000,0.4518,0.4518
11.7000,37.6500,0.4500,0.4500
11.7000,37.7000,0.4500,0.4500
11.7000,37.7500,0.4500,0.4500
11.7000,37.8000,0.4500,0.4500
11.7500,37.8500,0.4659,0.4659
11.7500,37.9000,0.4780,0.4780
11.7500,37.9500,0.4659,0.4659
11.7500,38.0000,0.4571,0.4571
11.7500,38.0500,0.4518,0.4518
11.7500,38.1000,0.4500,0.4500
11.7500,38.1500,0.4500,0.4500
11.7500,38.2000,0.4500,0.4500
11.7500,38.2500,0.4464,0.4464
11.8000,38.3000,0.4780,0.4780
11.8000,38.3500,0.4659,0.4659
11.8000,38.4000,0.4571,0.4571
11.8000,38.4500,0.4518,0.4518
11.8000,38.5000,0.4500,0.4500
11.8500,38.5500,0.5000,0.5000
11.8500,38.6000,0.5000,0.5000
11.9000,38.6500,0.4571,0.4571
11.9000,38.7000,0.4518,0.4518
11.9000,38.7500,0.4500,0.4500
11.9000,38.8000,0.4500,0.4500
11.9000,38.8500,0.4500,0.4500
11.9000,38.9000,0.4500,0.4500
11.9000,38.9500,0.4500,0.4500
11.9000,39.0000,0.4518,0.4518
11.9000,39.0500,0.4571,0.4571
11.9000,39.1000,0.4659,0.4659
11.9000,39.1500,0.4780,0.4780
11.9000,39.2000,0.4659,0.4659
11.9000,39.2500,0.4571,0.4571
11.9000,39.3000,0.4518,0.4518
11.9000,39.3500,0.4500,0.4500
11.9000,39.4000,0.4500,0.4500
11.9000,39.4500,0.4500,0.4500
11.9000,39.5000,0.4464,0.4464
11.9500,39.5500,0.4780,0.4780
11.9500,39.6000,0.4659,0.4659
11.9500,39.6500,0.4571,0.4571
11.9500,39.7000,0.4518,0.4518
11.9500,39.7500,0.4500,0.4500
11.9500,39.8000,0.4500,0.4500
11.9500,39.8500,0.4500,0.4500
12.0000,39.9000,0.5000,0.5000
12.0500,39.9500,0.4659,0.4659
12.0500,40.0000,0.4571,0.4571
12.0500,40.0500,0.4518,0.4518
12.0500,40.1000,0.4500,0.4500
12.0500,40.1500,0.4500,0.4500
12.0500,40.2000,0.4518,0.4518
12.0500,40.2500,0.4571,0.4571
12.0500,40.3000,0.4659,0.4659
12.0500,40.3500,0.4780,0.4780
12.0500,40.4000,0.4780,0.4780
12.0500,40.4500,0.4659,0.4659
12.0500,40.5000,0.4571,0.4571
12.0500,40.5500,0.4518,0.4518
12.0500,40.6000,0.4500,0.4500
12.0500,40.6500,0.4500,0.4500
12.0500,40.7000,0.4500,0.4500
12.0500,40.7500,0.4500,0.4500
12.1000,40.8000,0.4933,0.4933
12.1000,40.8500,0.4780,0.4780
12.1000,40.9000,0.4659,0.4659
12.1000,40.9500,0.4571,0.4571
12.1000,41.0000,0.4518,0.4518
12.1000,41.0500,0.4500,0.4500
12.1000,41.1000,0.4500,0.4500
12.1000,41.1500,0.4500,0.4500
12.1500,41.2000,0.4933,0.4933
12.1500,41.2500,0.4780,0.4780
12.1500,41.3000,0.4659,0.4659
12.1500,41.3500,0.4571,0.4571
12.1500,41.4000,0.4518,0.4518
12.1500,41.4500,0.4500,0.4500
12.1500,41.5000,0.4500,0.4500
12.1500,41.5500,0.4500,0.4500
12.1500,41.6000,0.4500,0.4500
12.2000,41.6500,0.4780,0.4780
12.2000,41.7000,0.4780,0.4780
12.2000,41.7500,0.4659,0.4659
12.2000,41.8000,0.4571,0.4571
12.2000,41.8500,0.4518,0.4518
12.2000,41.9000,0.4500,0.4500
12.2000,41.9500,0.4500,0.4500
12.2000,42.0000,0.4500,0.4500
12.2000,42.0500,0.4500,0.4500
12.2000,42.1000,0.4500,0.4500
12.2000,42.1500,0.4500,0.4500
12.2000,42.2000,0.4500,0.4500
12.2000,42.2500,0.4500,0.4500
12.2500,42.3000,0.5017,0.5017
12.2500,42.3500,0.5017,0.5017
12.2500,42.4000,0.5000,0.5000
12.2500,42.4500,0.5000,0.5000
12.2500,42.5000,0.5000,0.5000
12.2500,42.5500,0.5000,0.5000
12.2500,42.6000,0.5000,0.5000
